angle_deg,torque_nm,coil_current_a,active_eml,pulse_on
0,2.011872221274892,0,0,0
1,1.404500145461797,0,0,0
2,-0.05672199659620713,0,0,0
3,-0.7093585703354347,0,0,0
4,-1.961821179772498,0,0,0
5,-2.38759541299375,0,0,0
6,-2.756294487525912,0,0,0
7,-3.138874095625055,0,0,0
8,-3.594049255314048,0,0,0
9,-3.739191844257604,0,0,0
10,-3.174087404868366,0,0,0
11,-2.780502647188075,0,0,0
12,-1.866451816095308,0,0,0
13,-0.8128988343526209,0,0,0
14,0.7888014818770713,0,0,0
15,1.967507852582761,0,0,0
16,3.119784210664272,0,0,0
17,4.103716456472209,0,0,0
18,4.437225299487556,0,0,0
19,4.702431581346709,0,0,0
20,4.320150844248124,0,0,0
21,3.724512205876097,0,0,0
22,2.85268242588371,0,0,0
23,1.505911636093254,0,0,0
24,0.8757937211328569,0,0,0
25,-0.5482153258322755,0,0,0
26,-0.8718799051333037,0,0,0
27,-2.264616178130164,0,0,0
28,-2.742957281397875,0,0,0
29,-3.086040219791971,0,0,0
30,-3.502181592136902,0,0,0
31,-3.306262528150391,0,0,0
32,-3.611263480854,0,0,0
33,-2.893665130219499,0,0,0
34,-2.568547177188021,0,0,0
35,-1.643900346181345,0,1,0
36,-0.2350216956656413,0,1,0
37,1.309383925725775,0,1,0
38,2.756515073519184,0,1,0
39,3.547032499969594,0,1,0
40,4.274857981240292,0,1,0
41,4.733060218247456,0,1,0
42,4.933966361996546,0,1,0
43,4.143959403598939,0,1,0
44,3.358495479014949,0,1,0
45,2.050682250442019,0,0,0
